"Error while marking as read. Please try again later.","Ошибка при пометке как прочитанный. Попробуйте позже."
"Error while marking. Please try again later.","Ошикба при помечании. Попробуйте позже."
"Error while removing. Please try again later.","Ошибка при удалении. Попробуйте позже."
"Last update","Последнее обновление"
"Mark as Read","пометить как прочитанное"
"Mark as read","пометить как прочитанное"
"Message was successfully marked as read","Сообщение помечено как прочитанное"
"Message was successfully removed","Сообщение удалено"
"Notifications","Оповещения"
"Please select messages","Выберите сообщения"
"Read Details","Детали"
"Severity","Severity"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"Total of %d record(s) were successfully marked as read"," %d записей помечены как прочитанные"
"Total of %d record(s) were successfully removed"," %d записей удалено"
"Unable to proceed. Please, try again","Не удалось продолжить. Пожалуйста, повторите попытку"
"Update frequency","Частота обновления"
"Use HTTPS to get feed","Используйте HTTPS для получения сообщений"
